ID,species,name,birthday,attribute,info
zebra,얼룩말,,,,아프리카 대륙의 사바나 지역에 널리 분포하며 위로는 수단 아래로는 남아프리카 공화국에 이르는 서식지를 가진다. 몸높이는 120~160cm 정도에 무게는 160~500kg 정도이다. 이름은 얼룩'말'이지만 사실 유전자 검사 결과 말보다는 당나귀에 더 가까워 덩치와 체형이 흡사하다. 성질이 특히나 더러운 당나귀에 얼룩무늬를 칠한 결과물이 바로 얼룩말인 셈이다.사바나얼룩말 그레비얼룩말 산얼룩말 3종의 얼룩말이 있으며 모두 아프리카에 산다. 이들 3종은 주로 체구와 줄무늬의 형태로 구분한다. 각 종에 따라 선호하는 서식지가 다르다.
nizer,사바나 얼룩말,니제르,2016.05.15,쿠미와 청초의 엄마! 눈물점이 매력 포인트!,주요 서식지는 사바나로 수명은 약 25년이다. 몸길이 1.1~1.5m이며 몸에 아름다운 가로줄무늬가 있다. 영양이나 기린과 더불어 살며 해질 무렵이나 이른 아침에 물가에서 풀을 먹는다. 시각과 후각이 예민하고 적에대해서는 둥글게 감싸 뒷다리로 걷어차 집단으로 방어한다. 임신기간은 300~375일이며 한배에 1마리의 새끼를 낳는다.
kumi,사바나 얼룩말,쿠미,2023.05.12,수컷. 귀엽고 호기심 짱 많음. 옆 동네 기린 마루와 친구라는 소문이 있다!,주요 서식지는 사바나로 수명은 약 25년이다. 몸길이 1.1~1.5m이며 몸에 아름다운 가로줄무늬가 있다. 영양이나 기린과 더불어 살며 해질 무렵이나 이른 아침에 물가에서 풀을 먹는다. 시각과 후각이 예민하고 적에대해서는 둥글게 감싸 뒷다리로 걷어차 집단으로 방어한다. 임신기간은 300~375일이며 한배에 1마리의 새끼를 낳는다.
chungcho,사바나 얼룩말,청초,2020.03.21,쿠미의 누나! 니제르의 딸! 니제르의 눈물점까지 쏙 빼닯았다.   ,주요 서식지는 사바나로 수명은 약 25년이다. 몸길이 1.1~1.5m이며 몸에 아름다운 가로줄무늬가 있다. 영양이나 기린과 더불어 살며 해질 무렵이나 이른 아침에 물가에서 풀을 먹는다. 시각과 후각이 예민하고 적에대해서는 둥글게 감싸 뒷다리로 걷어차 집단으로 방어한다. 임신기간은 300~375일이며 한배에 1마리의 새끼를 낳는다.
ostrich,타조,,,,머리까지 재면 약 2.4m로 몸무게는 155kg이다. 수컷은 검정색이고 암컷은 갈색의 몸을 가지고 있다. 날개가 퇴화하여 날지는 못하지만 달리는 속도는 빨라 시속 90km까지 달릴 수 있다. 한번에 6~8개의 알을 낳고 알은 주로 수컷이 품으며 기간은 40~42일이다. 알이 크고 단단하기로 유명해 현지에서는 껍데기를 컵으로 사용한다. 
elephant,코끼리,,,,코끼리는 아프로테리아상목 장비목 코끼리과에 속하는 생물들의 총칭으로 기다란 코와 큰 귀와 양 옆으로 튀어나온 상아가 특징이다. 현존하는 지상 최대의 육상 동물이다.아프로테리아상목은 이 두 분류군에 비해 종류와 개체수는 물론 정보도 적은편이다. 하지만 코끼리는 로라시아상목이나 영장상목에 속하는 대다수의 포유류들과 전혀 다르고 협소한 분류군에 속한 포유류임에도 지상에서 가장 큰 동물인데다 오래전부터 인간과 많이 접촉했기 때문에 아프로테리아상목에 속하는 포유류들 중에서는 가장 많은 정보가 밝혀졌다.
bear,곰,,,,포유류의 식육목 곰과에 속하는 동물들의 총칭. 아프리카 오스트레일리아 대륙 남극을 제외한 전 세계에 분포한다. 현재 총 8종이 생존하고 있다.한반도에 사는 곰은 우수리불곰과 아시아흑곰 2종류가 있다.식육목 중에서도 개아목에 속하며 같은 개아목인 갯과나 족제비과보다는 바다표범이나 바다사자같은 기각류들과 더 가깝다고 알려져있었지만 유전자 검사로 족제비과와 기각류와도 멀리 있음이 밝혀졌다.
tiger,호랑이,,,,아시아에 서식하는 식육목 고양이과의 포유류이다.대한민국에서는 대한민국 그 자체를 상징하는 동물이다. 이름에 '범' 또는 '호'가 들어가는 사람도 많으며 잘 발달되고 균형 잡힌 신체 구조와 느리게 움직이다가도 목표물을 향할 때의 빠른 몸놀림에 빼어난 지혜와 늠름한 기품을 지녔다 하여 산군으로 불렸다.호랑이를 뜻하는 '범'은 순우리말이다. 1음절이다 보니 한자음으로 착각하는 경우가 꽤 있는 모양. 한편 '범'이라고 하면 오늘날엔 호랑이만 뜻하지만 불과 반 세기 전만 해도 '범'은 호랑이와 표범의 통칭이었다.
TaeHo,호랑이,태호,2016.05.02,건곤의 남편이다.금슬이 상당히 좋다. 가장 순한 암수 한 쌍이다.시끄럽게 소리를 지르거나 태호를 위협하는 행동은 자제해야 한다.,아시아에 서식하는 식육목 고양이과의 포유류이다.대한민국에서는 대한민국 그 자체를 상징하는 동물이다. 이름에 '범' 또는 '호'가 들어가는 사람도 많으며 잘 발달되고 균형 잡힌 신체 구조와 느리게 움직이다가도 목표물을 향할 때의 빠른 몸놀림에 빼어난 지혜와 늠름한 기품을 지녔다 하여 산군으로 불렸다.호랑이를 뜻하는 '범'은 순우리말이다. 1음절이다 보니 한자음으로 착각하는 경우가 꽤 있는 모양. 한편 '범'이라고 하면 오늘날엔 호랑이만 뜻하지만 불과 반 세기 전만 해도 '범'은 호랑이와 표범의 통칭이었다.
GunGon,호랑이,건곤,2016.05.26,모성애가 상당히 대단하다.굉장히 애교가 많다. 낯선 사람이 고기를 주면 잘 먹지 않는다.,아시아에 서식하는 식육목 고양이과의 포유류이다.대한민국에서는 대한민국 그 자체를 상징하는 동물이다. 이름에 '범' 또는 '호'가 들어가는 사람도 많으며 잘 발달되고 균형 잡힌 신체 구조와 느리게 움직이다가도 목표물을 향할 때의 빠른 몸놀림에 빼어난 지혜와 늠름한 기품을 지녔다 하여 산군으로 불렸다.호랑이를 뜻하는 '범'은 순우리말이다. 1음절이다 보니 한자음으로 착각하는 경우가 꽤 있는 모양. 한편 '범'이라고 하면 오늘날엔 호랑이만 뜻하지만 불과 반 세기 전만 해도 '범'은 호랑이와 표범의 통칭이었다.
TaeBum,호랑이,태범,2020.02.20,태호와 건곤 사이에 태어난 호랑이다. 2021년 10월 25일부터 국립백두대간수목원으로 무궁이와 이사했다.장난기도 많고 호기심 많은 성격이다보니 가끔씩 엄마 건곤이와 오빠 태범을 힘들게 할 때가 있다.,아시아에 서식하는 식육목 고양이과의 포유류이다.대한민국에서는 대한민국 그 자체를 상징하는 동물이다. 이름에 '범' 또는 '호'가 들어가는 사람도 많으며 잘 발달되고 균형 잡힌 신체 구조와 느리게 움직이다가도 목표물을 향할 때의 빠른 몸놀림에 빼어난 지혜와 늠름한 기품을 지녔다 하여 산군으로 불렸다.호랑이를 뜻하는 '범'은 순우리말이다. 1음절이다 보니 한자음으로 착각하는 경우가 꽤 있는 모양. 한편 '범'이라고 하면 오늘날엔 호랑이만 뜻하지만 불과 반 세기 전만 해도 '범'은 호랑이와 표범의 통칭이었다.
MooGung,호랑이,무궁,2020.02.20,태호와 건곤 사이에 태어난 호랑이다. 2021년 10월 25일부터 국립백두대간수목원으로 태범이와 이사했다.의젓한 성격이며 무궁이의 장난을 굉장히 잘 받아준다.평소에는 순둥순둥하고 무던한 성격이지만 노란 공에는 굉장한 애착을 보인다.,아시아에 서식하는 식육목 고양이과의 포유류이다.대한민국에서는 대한민국 그 자체를 상징하는 동물이다. 이름에 '범' 또는 '호'가 들어가는 사람도 많으며 잘 발달되고 균형 잡힌 신체 구조와 느리게 움직이다가도 목표물을 향할 때의 빠른 몸놀림에 빼어난 지혜와 늠름한 기품을 지녔다 하여 산군으로 불렸다.호랑이를 뜻하는 '범'은 순우리말이다. 1음절이다 보니 한자음으로 착각하는 경우가 꽤 있는 모양. 한편 '범'이라고 하면 오늘날엔 호랑이만 뜻하지만 불과 반 세기 전만 해도 '범'은 호랑이와 표범의 통칭이었다.
